MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
Blood Red Sky,2021.0,"Action, Horror, Thriller",0.5681818181818181,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"Director: Peter Thorwarth |      Stars: Peri Baumeister,  Carl Anton Koch,  Alexander Scheer,  Kais Setti",0.012292304306480416,0.6250325537788435,0.012192218408364914,4,3
Masters of the Universe: Revelation,2021.0,"Animation, Action, Adventure",0.4431818181818181,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars: Chris Wood,  Sarah Michelle Gellar,  Lena Headey,  Mark Hamill",0.010428931777331655,0.12500651075576868,0.012192218408364914,4,3
The Walking Dead,2010.0,"Drama, Horror, Thriller",0.8068181818181817,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Stars: Andrew Lincoln,  Norman Reedus,  Melissa McBride,  Lauren Cohan",0.517097552105255,0.22396999843741888,0.012192218408364914,4,3
Rick and Morty,2013.0,"Animation, Adventure, Comedy",0.9204545454545454,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars: Justin Roiland,  Chris Parnell,  Spencer Grammer,  Sarah Chalke",0.24217071224379358,0.11458930152612129,0.012192218408364914,4,3
Army of Thieves,2021.0,"Action, Crime, Horror",0.6818181818181818,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director: Matthias Schweighöfer |      Stars: Matthias Schweighöfer,  Nathalie Emmanuel,  Ruby O. Fee,  Stuart Martin",0.0004597136173886749,0.307307672274598,0.012192218408364914,4,3
Outer Banks,2020.0,"Action, Crime, Drama",0.7386363636363635,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"Stars: Chase Stokes,  Madelyn Cline,  Madison Bailey,  Jonathan Daviss",0.015092033206792905,0.25522162612636107,0.012192218408364914,4,3
The Last Letter from Your Lover,2021.0,"Drama, Romance",0.6477272727272727,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"Director: Augustine Frizzell |      Stars: Shailene Woodley,  Joe Alwyn,  Wendy Nottingham,  Felicity Jones",0.003081102822320541,0.5677379030157828,0.012192218408364914,4,2
Dexter,2006.0,"Crime, Drama, Mystery",0.8522727272727272,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Stars: Michael C. Hall,  Jennifer Carpenter,  David Zayas,  James Remar",0.38842560782896673,0.27084743997083216,0.012192218408364914,4,3
Never Have I Ever,2020.0,Comedy,0.7727272727272727,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","Stars: Maitreyi Ramakrishnan,  Poorna Jagannathan,  Darren Barnet,  John McEnroe",0.020154428749643176,0.15104953382988714,0.012192218408364914,4,1
Virgin River,2019.0,"Drama, Romance",0.7159090909090909,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","Stars: Alexandra Breckenridge,  Martin Henderson,  Colin Lawrence,  Tim Matheson",0.015921560889725357,0.22396999843741888,0.012192218408364914,4,2
Gunpowder Milkshake,2021.0,"Action, Adventure, Thriller",0.5568181818181818,Three generations of women fight back against those who could take everything from them.,"Director: Navot Papushado |      Stars: Karen Gillan,  Lena Headey,  Carla Gugino,  Michelle Yeoh",0.010498399612848165,0.5885723214750775,0.012192218408364914,4,3
Lucifer,2016.0,"Crime, Drama, Fantasy",0.7954545454545454,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars: Tom Ellis,  Lesley-Ann Brandt,  Lauren German,  D.B. Woodside",0.15424019408962986,0.2135527892077715,0.012192218408364914,4,3
